run_dir,core_limit,engine,query,count,mean_ms,p50_ms,p95_ms,p99_ms,min_ms,max_ms,errors,expect_failures,cpu_count,memory_total_mb
graphrag_eval_v1_20260209_064912,4,lance_graph_local,parent_child_enrichment,30,1.5788642068703969,1.5762699767947197,1.681674548308365,1.7178028740454465,1.4432290336117148,1.729158975649625,0,0,96,386939.97265625
graphrag_eval_v1_20260209_064912,4,lance_graph_local,global_search,30,0.8725741354282945,0.8802450029179454,0.932720975833945,0.9463876869995147,0.7962710224092007,0.9495400008745492,0,0,96,386939.97265625
graphrag_eval_v1_20260209_064912,4,lance_graph_local,deep_traversal_5hop,30,12.985943795259422,12.951259996043518,13.496690985630266,13.60975005722139,12.568850012030452,13.642029953189194,0,0,96,386939.97265625
graphrag_eval_v1_20260209_064934,32,neo4j_local,hybrid_search,30,6.787168403388932,5.071430001407862,16.64010508393403,17.12471583392471,3.5471890005283058,17.204799049068242,0,0,96,386939.97265625
graphrag_eval_v1_20260209_064934,32,neo4j_local,local_search_2hop,30,7.230937335407361,4.4313450052868575,17.070513937505893,18.332977961399592,2.9431500006467104,18.773458956275135,0,0,96,386939.97265625
graphrag_eval_v1_20260209_064934,32,neo4j_local,parent_child_enrichment,30,5.727811130539824,4.967674991348758,10.393857513554394,12.27044765953906,3.531099995598197,13.034559960942715,0,0,96,386939.97265625
graphrag_eval_v1_20260209_064934,32,neo4j_local,global_search,30,3.63752413347053,3.2911399903241545,5.852893504197706,6.6100841970182955,2.4890999775379896,6.706079992000014,0,0,96,386939.97265625
graphrag_eval_v1_20260209_064934,32,neo4j_local,deep_traversal_5hop,30,25.348182800613966,24.048003979260102,32.88456048758235,33.92106797953602,23.214950051624328,34.19798897812143,0,0,96,386939.97265625
graphrag_eval_v1_20260209_064934,32,kuzu_local,hybrid_search,30,3.1627425380672016,3.3388400042895228,5.963121450622565,6.131031101103872,1.2697000056505203,6.161338998936117,0,0,96,386939.97265625
graphrag_eval_v1_20260209_064934,32,kuzu_local,local_search_2hop,30,6.663871787410851,7.042224955512211,8.477737015346065,8.581962500466034,2.9577299719676375,8.614949998445809,0,0,96,386939.97265625
graphrag_eval_v1_20260209_064934,32,kuzu_local,parent_child_enrichment,30,2.16976460457469,1.7210049845743924,3.923920457600616,4.010312099708244,1.3339199940674007,4.033059987705201,0,0,96,386939.97265625
graphrag_eval_v1_20260209_064934,32,kuzu_local,global_search,30,2.473168500000611,1.6965499962680042,4.194361963891424,5.045572220697069,1.3212799676693976,5.358410009648651,0,0,96,386939.97265625
graphrag_eval_v1_20260209_064934,32,kuzu_local,deep_traversal_5hop,30,29.10377087149148,29.17581400834024,33.76716801139991,34.52240602171514,23.236379027366638,34.57282803719863,0,0,96,386939.97265625
graphrag_eval_v1_20260209_064934,32,lance_graph_local,hybrid_search,30,1.8113739303468417,1.7982650024350733,1.983310980722308,2.0877898711478338,1.6197109944187105,2.1262699738144875,0,0,96,386939.97265625
graphrag_eval_v1_20260209_064934,32,lance_graph_local,local_search_2hop,30,2.7198625670280308,2.7210544794797897,2.8885109932161868,2.916201094049029,2.550119999796152,2.9232800006866455,0,0,96,386939.97265625
graphrag_eval_v1_20260209_064934,32,lance_graph_local,parent_child_enrichment,30,1.6361732637354482,1.6247449966613203,1.8680620152736076,2.0043796114623547,1.4944499707780778,2.0138800027780235,0,0,96,386939.97265625
graphrag_eval_v1_20260209_064934,32,lance_graph_local,global_search,30,0.870536599541083,0.8619400032330304,0.9464075206778944,0.9835749102057889,0.79058000119403,0.9961000178009272,0,0,96,386939.97265625
graphrag_eval_v1_20260209_064934,32,lance_graph_local,deep_traversal_5hop,30,13.620186500096073,13.170418998925015,16.184268987854004,17.39762751501985,12.709078961052,17.503820010460913,0,0,96,386939.97265625
graphrag_eval_v1_20260209_064957,96,neo4j_local,hybrid_search,30,7.264968993452688,5.953760031843558,14.364886004477736,15.098041897290386,3.6552000092342496,15.254369005560875,0,0,96,386939.97265625
graphrag_eval_v1_20260209_064957,96,neo4j_local,local_search_2hop,30,7.042350963456556,5.123754992382601,14.07345947809517,14.672475298284553,3.0565400375053287,14.701339008752257,0,0,96,386939.97265625
graphrag_eval_v1_20260209_064957,96,neo4j_local,parent_child_enrichment,30,6.1978061314827455,4.783830023370683,13.320450964965854,14.804817201802507,3.592160006519407,15.099868993274868,0,0,96,386939.97265625
graphrag_eval_v1_20260209_064957,96,neo4j_local,global_search,30,3.887757173894594,3.643205011030659,6.298589552170597,6.885946787078866,2.6913000037893653,7.114199979696423,0,0,96,386939.97265625
graphrag_eval_v1_20260209_064957,96,neo4j_local,deep_traversal_5hop,30,25.052534070952486,23.328313982347026,32.67493906605521,47.512963911867715,22.233399038668722,51.99559801258147,0,0,96,386939.97265625
graphrag_eval_v1_20260209_064957,96,kuzu_local,hybrid_search,30,2.5835776003077626,3.0009949987288564,4.335645009996366,5.3283003997057685,1.2767899897880852,5.502949992660433,0,0,96,386939.97265625
graphrag_eval_v1_20260209_064957,96,kuzu_local,local_search_2hop,30,5.156453768722713,4.825950512895361,6.902239052578806,7.468085715081543,2.6022499660030007,7.66026001656428,0,0,96,386939.97265625
graphrag_eval_v1_20260209_064957,96,kuzu_local,parent_child_enrichment,30,2.362863003509119,1.8590849649626762,3.519074944779277,3.5423755482770503,1.268260006327182,3.5475900513119996,0,0,96,386939.97265625
graphrag_eval_v1_20260209_064957,96,kuzu_local,global_search,30,2.551078872056678,2.901655010646209,3.7071845756145194,3.7633797887247056,1.3735300162807107,3.775138990022242,0,0,96,386939.97265625
graphrag_eval_v1_20260209_064957,96,kuzu_local,deep_traversal_5hop,30,27.415909606497735,26.779634004924446,32.477958936942734,35.56822863523848,22.72285899380222,36.388018052093685,0,0,96,386939.97265625
graphrag_eval_v1_20260209_064957,96,lance_graph_local,hybrid_search,30,1.8388416288265337,1.8543549813330173,1.9411574467085302,1.964170805294998,1.6821700264699757,1.9677699892781675,0,0,96,386939.97265625
graphrag_eval_v1_20260209_064957,96,lance_graph_local,local_search_2hop,30,2.6508622356535247,2.6674300024751574,2.8038089629262686,2.9376206267625093,2.3999689728952944,2.9845400131307542,0,0,96,386939.97265625
graphrag_eval_v1_20260209_064957,96,lance_graph_local,parent_child_enrichment,30,1.5801486345784117,1.5739249938633293,1.6547704755794257,1.7201876523904505,1.4628599747084081,1.7467200523242354,0,0,96,386939.97265625
graphrag_eval_v1_20260209_064957,96,lance_graph_local,global_search,30,0.8369483383527646,0.8394200121983886,0.8720344863831997,0.886921362252906,0.7992600440047681,0.8928199531510472,0,0,96,386939.97265625
graphrag_eval_v1_20260209_064957,96,lance_graph_local,deep_traversal_5hop,30,12.491574161686003,12.432379007805139,13.07706953084562,13.135122485691682,11.958998977206647,13.15162901300937,0,0,96,386939.97265625
